term_frequency,tfidf,capitalize,named entity,noun phrases,trigrams,Score
0.0020181634712411706,0.007682467184198425,1.0,0,1,0,1.6821392532795159
0.0020181634712411706,0.00527293647083327,1.0,0,1,0,0.03632694248234103
0.0010090817356205853,0.0037450578304399546,1.0,0,1,0,0.9505549949545913
0.0010090817356205853,0.0022796165298227117,1.0,0,1,0,0.6236125126135217
0.0,0.0,1.0,0,1,0,0.24167507568113017
0.0,0.0,2.5,1,1,0,1.4873864783047428
0.004036326942482341,0.011508177778982375,4.0,0,1,0,1.885973763874874
0.0,0.0,1.0,0,1,0,0.9894046417759839
0.0,0.0,1.0,0,1,0,1.39656912209889
0.0010090817356205853,0.004540675752099157,1.0,0,1,0,0.9596367305751766
0.0010090817356205853,0.005465287994151786,4.0,0,1,0,0.615539858728557
0.0,0.0,4.0,0,1,0,0.7971745711402624
0.0010090817356205853,0.004356698399128466,1.0,0,0,0,0.7194752774974773
0.0020181634712411706,0.005833242700093167,4.0,1,1,0,0.12310797174571142
0.0010090817356205853,0.0038412335920992124,1.0,0,1,0,0.06861755802219982
0.0010090817356205853,0.0026063441555481373,4.0,0,1,0,0.12613521695257313
0.004036326942482341,0.007510604806115062,1.0,0,1,0,2.1715438950554997
0.0,0.0,4.0,0,1,0,1.6912209889001009
0.0020181634712411706,0.008132807348303793,4.0,0,1,0,1.1231079717457115
0.0,0.0,2.5,0,1,0,2.042885973763875
0.0010090817356205853,0.005465287994151786,4.0,1,1,0,0.5025227043390514
0.0020181634712411706,0.005754088889491187,1.0,0,1,0,1.4510595358224017
0.0,0.0,3.5,0,1,0,1.4934409687184662
0.005045408678102927,0.015228078352200048,4.0,0,1,0,3.4278506559031285
0.0010090817356205853,0.002667519354152007,1.0,0,1,0,0.7467204843592331
0.0010090817356205853,0.004201147763581284,1.0,0,0,0,0.5247225025227044
0.0020181634712411706,0.00416992192720447,1.0,0,1,0,1.722502522704339
0.0,0.0,1.0,0,0,0,0.013118062563067578
0.0,0.0,4.0,1,1,0,4.467709384460141
0.0010090817356205853,0.002838961369081772,1.0,0,0,0,0.47023208879919276
0.006054490413723511,0.013303075140279836,1.0,1,0,0,3.267406659939455
0.004036326942482341,0.014980231321759819,4.0,0,1,0,2.7699293642785063
0.0010090817356205853,0.004066403674151896,1.0,0,1,0,0.17053481331987896
0.0010090817356205853,0.003657256239128522,1.0,0,1,0,0.20887991927346117
0.0,0.0,1.0,1,1,1,1.9663639421459802
0.0010090817356205853,0.001192728453690374,1.0,0,1,0,0.2785065590312815
0.004036326942482341,0.017426793596513866,4.0,1,1,0,2.1775983854692234
0.0010090817356205853,0.005465287994151786,4.0,0,1,0,0.4066599394550958
0.0010090817356205853,0.0035017056035813393,1.0,0,1,0,0.6004036326942482
0.0010090817356205853,0.001892170613690319,1.0,0,1,0,0.1987891019172553
0.0,0.0,1.0,0,0,0,0.5186680121089808
0.0010090817356205853,0.005465287994151786,1.0,0,1,0,0.2613521695257316
0.0020181634712411706,0.0066115726310961645,1.0,0,0,0,0.04742684157416743
0.0010090817356205853,0.0028022634435813944,4.0,1,1,0,0.3380423814328961
0.0,0.0,2.5,0,1,0,4.106710393541876
0.0,0.0,1.0,0,1,0,0.13420787083753782
0.0030272452068617556,0.013622027256297471,1.0,0,1,0,2.458123107971746
0.0030272452068617556,0.008749864050139751,1.0,0,1,0,2.1937436932391527
0.0,0.0,1.0,0,1,0,2.054490413723512
0.011099899091826439,0.047923682390413135,4.0,1,1,0,4.568113017154389
0.0020181634712411706,0.010112281118256822,1.0,0,1,0,1.1180625630676084
0.0010090817356205853,0.005465287994151786,1.0,0,1,0,0.9031281533804238
0.0020181634712411706,0.00473874362678265,1.0,0,1,0,1.5216952573158427
0.0020181634712411706,0.005754088889491187,1.0,0,1,0,1.1231079717457115
0.0010090817356205853,0.0029166213500465836,1.0,0,1,0,0.13218970736629665
0.0020181634712411706,0.007682467184198425,1.0,0,1,0,1.7406659939455096
0.006054490413723511,0.015462560169172261,1.0,0,1,0,1.9112008072653883
0.0020181634712411706,0.006496217608210294,1.0,0,1,0,0.8960645812310797
0.0010090817356205853,0.0038412335920992124,1.0,0,1,0,0.5378405650857719
0.0010090817356205853,0.004201147763581284,4.0,0,1,0,0.9919273461150353
0.0010090817356205853,0.005465287994151786,4.0,0,1,0,0.8668012108980827
0.0010090817356205853,0.002521018839677236,1.0,0,1,0,0.6488395560040363
0.0010090817356205853,0.005056140559128411,1.0,0,1,0,0.856710393541877
0.0010090817356205853,0.005465287994151786,4.0,0,1,0,0.02320887991927345
0.0010090817356205853,0.004201147763581284,4.0,0,1,0,0.9545913218970736
0.0020181634712411706,0.009081351504198315,4.0,0,1,0,1.6175580221997983
0.0,0.0,1.0,0,1,1,1.4029599730911535
0.0,0.0,1.0,0,1,0,2.24117053481332
0.004036326942482341,0.009871588038888875,1.0,0,1,0,3.3935418768920282
0.0020181634712411706,0.006185116337115928,1.0,0,1,0,0.839556004036327
0.0010090817356205853,0.004356698399128466,1.0,0,1,0,0.39858728557013123
0.0,0.0,1.0,0,0,0,1.5403632694248233
0.0,0.0,1.0,0,1,0,2.6296670030272455
0.0020181634712411706,0.004434358380093278,1.0,0,1,0,1.0040363269424823
0.0010090817356205853,0.004201147763581284,1.0,0,0,0,0.7336024217961654
0.0010090817356205853,0.0030456156704400097,4.0,0,1,0,0.49949545913218973
